date,close,open,high,low
-307497600,55.540001,55.540001,55.540001,55.540001
-307411200,55.369999,55.369999,55.369999,55.369999
-307324800,56.509998,56.509998,56.509998,56.509998
-307238400,56.52,56.52,56.52,56.52
-307152000,56.389999,56.389999,56.389999,56.389999
-306892800,56.169998,56.169998,56.169998,56.169998
-306806400,56.299999,56.299999,56.299999,56.299999
-306720000,56.299999,56.299999,56.299999,56.299999
-306633600,56.43,56.43,56.43,56.43
-306288000,56.59,56.59,56.59,56.59
-306201600,56.130001,56.130001,56.130001,56.130001
-306115200,55.439999,55.439999,55.439999,55.439999
-306028800,55.59,55.59,55.59,55.59
-305942400,55.419998,55.419998,55.419998,55.419998
-305683200,54.860001,54.860001,54.860001,54.860001
-305596800,55.040001,55.040001,55.040001,55.040001
-305510400,55.040001,55.040001,55.040001,55.040001
-305424000,54.560001,54.560001,54.560001,54.560001
-305337600,54.369999,54.369999,54.369999,54.369999
-305078400,54.130001,54.130001,54.130001,54.130001
-304992000,54.830002,54.830002,54.830002,54.830002
-304905600,55.040001,55.040001,55.040001,55.040001
-304819200,54.860001,54.860001,54.860001,54.860001
-304732800,54.75,54.75,54.75,54.75
-304473600,54.799999,54.799999,54.799999,54.799999
-304387200,54.419998,54.419998,54.419998,54.419998
-304300800,54.57,54.57,54.57,54.57
-304214400,54.849998,54.849998,54.849998,54.849998
-304128000,55.299999,55.299999,55.299999,55.299999
-303868800,55.25,55.25,55.25,55.25
-303782400,55.459999,55.459999,55.459999,55.459999
-303696000,55.439999,55.439999,55.439999,55.439999
-303609600,55.68,55.68,55.68,55.68
-303523200,55.73,55.73,55.73,55.73
-303264000,55.759998,55.759998,55.759998,55.759998
-303177600,55.700001,55.700001,55.700001,55.700001
-303091200,55.669998,55.669998,55.669998,55.669998
-303004800,55.709999,55.709999,55.709999,55.709999
-302918400,55.740002,55.740002,55.740002,55.740002
-302572800,55.830002,55.830002,55.830002,55.830002
-302486400,55.889999,55.889999,55.889999,55.889999
-302400000,56.130001,56.130001,56.130001,56.130001
-302313600,56.23,56.23,56.23,56.23
-302054400,56.889999,56.889999,56.889999,56.889999
-301968000,57.43,57.43,57.43,57.43
-301881600,57.889999,57.889999,57.889999,57.889999
-301795200,58,58,58,58
-301708800,57.970001,57.970001,57.970001,57.970001
-301449600,57.990002,57.990002,57.990002,57.990002
-301363200,57.91,57.91,57.91,57.91
-301276800,57.57,57.57,57.57,57.57
-301190400,57.5,57.5,57.5,57.5
-301104000,57.439999,57.439999,57.439999,57.439999
-300844800,57.16,57.16,57.16,57.16
-300758400,57.110001,57.110001,57.110001,57.110001
-300672000,57.279999,57.279999,57.279999,57.279999
-300585600,57.59,57.59,57.59,57.59
-300499200,57.68,57.68,57.68,57.68
-300240000,57.330002,57.330002,57.330002,57.330002
-300153600,56.939999,56.939999,56.939999,56.939999
