date,close,open,high,low
2014-07-25,602.93,603.96,609.65,592.97
2014-07-26,596.23,602.93,603,590
2014-07-27,590.3,596.23,602.83,589
2014-07-28,586.53,592.61,596,570.5
2014-07-29,585.95,589.88,591.95,578
2014-07-30,563.84,585.93,586,557.12
2014-07-31,582.04,563.83,590,555.9
2014-08-01,598.2,583.54,607.2,581.77
2014-08-02,589.59,597.84,599.09,584.95
2014-08-03,588.73,589.6,591,578.21
2014-08-04,588.5,587.53,595.7,581.8
2014-08-05,581.76,588.5,589,578.25
2014-08-06,581.16,581.75,586.36,576.44
2014-08-07,585.84,581.16,591.9,579
2014-08-08,588.02,585.84,595,584
2014-08-09,587.97,588.99,591.35,585.21
2014-08-10,590.96,589.82,597,586
2014-08-11,573.98,590.98,590.99,571
2014-08-12,566.69,574.55,574.59,561.9
2014-08-13,548.81,569.39,572,524.55
2014-08-14,507.99,549.85,551.86,497
2014-08-15,500.25,507.99,521.79,481.55
2014-08-16,521.97,502.48,529.8,485
2014-08-17,496.86,523.47,524.8,485.39
2014-08-18,475.22,498,510,442
2014-08-19,485.57,474.74,493,453.01
2014-08-20,516.39,491.98,527.01,466
2014-08-21,519.28,516.39,534.14,510
2014-08-22,514.65,519.29,528,500.01
2014-08-23,497,514.65,514.69,487
2014-08-24,507.85,496.96,515.95,495.02
2014-08-25,503.82,507.84,508.46,496.79
2014-08-26,512.18,503.74,516,502.27
2014-08-27,511.87,514.4,523.09,510
2014-08-28,506,511.87,514.98,505.93
2014-08-29,509.3,506.94,514.98,501.25
2014-08-30,500.85,509.3,509.42,498.13
2014-08-31,479.04,501.49,504.75,473.33
2014-09-01,474.54,479.01,490,472.01
2014-09-02,474.5,475.89,484.61,470.42
2014-09-03,474.89,474.5,477.99,471
2014-09-04,487.43,474.86,497,471.04
2014-09-05,477.65,489.61,489.96,473.03
2014-09-06,479.78,477.65,485,477.16
2014-09-07,475.43,479.99,483,474.95
2014-09-08,468.33,477.4,478.39,456.3
2014-09-09,473.2,468.32,476.4,459.18
2014-09-10,476.57,473.34,492,473.32
2014-09-11,475.9,477.78,480,465
2014-09-12,474.62,477.43,478,462
2014-09-13,477.98,473.08,480.13,467.43
2014-09-14,475.49,477.99,481.58,473.59
2014-09-15,469.47,475.47,479.62,467.76
2014-09-16,462.02,469.47,473.69,462
2014-09-17,452.09,463.48,465.57,443.57
2014-09-18,425,452.99,452.99,407.94
2014-09-19,395.86,426.62,429,378.78
2014-09-20,408.76,395.86,431.11,390
2014-09-21,399.55,410.92,413.53,390
2014-09-22,400.07,400.77,409.38,396.26
2014-09-23,438.97,399.77,452.67,393.6
2014-09-24,423.68,440.85,441.78,418.83
2014-09-25,408.76,423.57,423.9,400
2014-09-26,403.57,410,414.35,396.53
2014-09-27,401.77,405.08,408.99,396.57
2014-09-28,375.35,399.16,403.99,368.9
2014-09-29,374.2,375.35,386.03,365.2
2014-09-30,391.09,374.17,397.75,371.8
2014-10-01,384.86,389.56,393.79,377.01
2014-10-02,374.68,384.85,385.82,372
2014-10-03,358.74,376.29,378.11,353.75
2014-10-04,326.21,358.71,365.07,322.04
2014-10-05,323.52,326.24,339.43,275
2014-10-06,328.59,322.82,347,295.89
2014-10-07,334.8,328.56,336.99,312.37
2014-10-08,355.73,334.8,359,326.93
2014-10-09,364.01,355.73,395.55,349
2014-10-10,360.89,364.01,380.08,351.1
2014-10-11,362,360.85,368.06,352.1
2014-10-12,378.11,362.77,383.6,354.71
2014-10-13,392.6,378.48,405,368.07
2014-10-14,403.38,392.99,417.99,390.48
